Pair Name,Exact Similarity,General Similarity,Overall Correlation,Off By One SimilarityPair Type,Success Rate
V,0.3,0.475,0.75,0.333333333333,2,82.5
H,0.575,0.6,0.725,0.589743589744,2,76.25
O,0.575,0.575,0.85,0.589743589744,3,63.75
M,0.275,0.275,0.35,0.282051282051,3,18.75
R,0.525,0.575,0.875,0.564102564103,2,91.25
U,0.75,0.75,0.925,0.717948717949,2,73.75
S,0.275,0.575,0.475,0.25641025641,2,86.25
W,0.175,0.3,0.575,0.307692307692,2,51.25
A,0.375,0.575,0.7,0.435897435897,1,92.5
B,0.3,0.375,0.625,0.307692307692,1,48.75
F,0.2,0.25,0.6,0.307692307692,1,43.75
Y,0.625,0.625,0.825,0.615384615385,2,63.75
K,0.55,0.625,0.75,0.564102564103,3,57.5
I,0.225,0.25,0.375,0.25641025641,3,18.75
L,0.3,0.325,0.525,0.307692307692,1,45
N,0.25,0.25,0.425,0.358974358974,3,11.25
Z,0.475,0.475,0.9,0.538461538462,2,75
E,0.325,0.55,0.55,0.282051282051,1,66.25
T,0.5,0.5,0.825,0.564102564103,2,87.5
P,0.5,0.6,0.875,0.487179487179,3,91.25
D,0.35,0.425,0.7,0.358974358974,1,60
C,0.325,0.45,0.775,0.358974358974,1,38.75
X,0.525,0.575,0.8,0.589743589744,2,88.75
J,0.425,0.475,0.675,0.461538461538,3,53.75
Q,0.45,0.525,0.85,0.512820512821,3,76.25
G,0.5,0.55,0.6,0.461538461538,2,78.75
